,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
64,Antti Niemi\niemian02,32,DAL,48,43,25,13,7,118,1246,1128,.905,2.67,3,5.9,2654,19,.442,8,111,-11.91,0,2,2,2
65,Anders Nilsson\nilssan01,25,TOT,29,24,10,13,2,78,789,711,.901,3.12,0,3.4,1500,11,.458,5,116,-10.82,0,1,1,4
65,Anders Nilsson\nilssan01,25,EDM,26,24,10,12,2,74,745,671,.901,3.14,0,3.1,1413,11,.458,5,117,-10.57,0,1,1,4
65,Anders Nilsson\nilssan01,25,STL,3,0,0,1,0,4,44,40,.909,2.75,0,0.2,87,0,,0,,,0,0,0,0
66,Matt O'Connor\oconnma01,23,OTT,1,1,0,1,0,3,34,31,.912,3.10,0,0.2,58,0,.000,0,,,0,0,0,0
67,Joni Ortio\ortiojo01,24,CGY,22,19,7,9,5,55,564,509,.902,2.76,1,2.5,1196,9,.474,3,115,-6.98,0,0,0,2
68,Ondrej Pavelec\pavelon01,28,WPG,33,31,13,13,4,88,918,830,.904,2.78,1,4.3,1899,14,.452,6,113,-9.84,0,0,0,0
69,Calvin Pickard\pickaca01,23,COL,20,13,7,6,1,42,539,497,.922,2.56,1,3.6,985,8,.615,1,92,3.89,0,1,1,0
70,Carey Price\priceca01,28,MTL,12,12,10,2,0,24,365,341,.934,2.06,2,3.0,698,8,.667,1,77,7.08,0,0,0,0
71,Jonathan Quick\quickjo01,30,LAK,68,68,40,23,5,149,1820,1671,.918,2.22,5,11.5,4034,38,.559,9,96,5.96,0,3,3,10
72,Antti Raanta\raantan01,26,NYR,25,18,11,6,2,43,530,487,.919,2.24,1,3.4,1145,12,.667,4,95,2.13,0,0,0,0
73,Karri Ramo\ramoka01,29,CGY,37,37,17,18,1,94,1034,940,.909,2.63,1,5.4,2145,20,.541,4,107,-5.96,0,1,1,0
74,Tuukka Rask\rasktu01,28,BOS,64,62,31,22,8,157,1854,1697,.915,2.56,4,11.1,3678,34,.548,10,99,0.85,0,1,1,0
75,James Reimer\reimeja01,27,TOT,40,37,17,14,7,88,1128,1040,.922,2.31,3,7.6,2290,22,.595,6,92,8.04,0,0,0,0
75,James Reimer\reimeja01,27,TOR,32,29,11,12,7,75,920,845,.918,2.49,0,5.8,1809,17,.586,5,96,3.33,0,0,0,0
75,James Reimer\reimeja01,27,SJS,8,8,6,2,0,13,208,195,.938,1.62,3,1.8,481,5,.625,1,,,0,0,0,0
76,Pekka Rinne\rinnepe01,33,NSH,66,66,34,21,10,161,1744,1583,.908,2.48,4,8.8,3895,32,.485,11,108,-12.51,0,2,2,6
77,Juuse Saros\sarosju01,20,NSH,1,1,0,1,0,3,23,20,.870,3.10,0,0.0,58,0,.000,0,,,0,0,0,0
78,Cory Schneider\schneco01,29,NJD,58,58,27,25,6,122,1597,1475,.924,2.15,4,11.1,3412,40,.690,7,90,13.97,0,0,0,0
79,Ben Scrivens\scrivbe01,29,MTL,15,14,5,8,0,42,447,405,.906,3.07,0,2.2,822,4,.286,2,110,-3.94,0,0,0,0
80,Mike Smith\smithmi01,33,ARI,32,32,15,13,2,77,921,844,.916,2.64,3,5.6,1753,16,.500,7,98,1.42,0,1,1,2
81,Garret Sparks\sparkga01,22,TOR,17,17,6,9,1,49,456,407,.893,3.02,1,1.5,975,6,.353,4,126,-10.18,0,0,0,0
82,Alex Stalock\staloal01,28,SJS,13,9,3,5,2,33,285,252,.884,2.94,0,0.6,674,2,.222,5,,,0,1,1,0
83,Cam Talbot\talboca01,28,EDM,56,53,21,27,5,137,1648,1511,.917,2.55,3,10.1,3223,26,.491,4,98,3.31,0,1,1,0
84,Dustin Tokarski\tokardu01,26,MTL,6,4,1,3,0,12,98,86,.878,3.18,0,0.1,226,1,.250,2,,,0,0,0,0
85,Niklas Treutle\treutni01,24,ARI,2,1,0,1,0,5,20,15,.750,6.04,0,-0.3,50,0,.000,1,,,0,0,0,2
86,Linus Ullmark\ullmali01,22,BUF,20,20,8,10,2,49,565,516,.913,2.60,0,3.2,1131,12,.600,4,102,-0.89,0,0,0,0
87,Semyon Varlamov\varlasi01,27,COL,57,57,27,25,3,148,1714,1566,.914,2.81,2,9.9,3159,25,.439,10,101,-2.07,0,0,0,6
88,Andrei Vasilevskiy\vasilan02,21,TBL,24,21,11,10,0,58,646,588,.910,2.76,1,3.5,1259,7,.333,3,105,-3.00,0,0,0,0
89,Cam Ward\wardca01,31,CAR,52,51,23,17,10,122,1343,1221,.909,2.41,1,7.0,3038,23,.451,7,107,-7.65,0,0,0,0
90,Scott Wedgewood\wedgesc01,23,NJD,4,4,2,1,1,5,116,111,.957,1.25,1,1.3,241,3,.750,0,,,0,0,0,0
91,Roman Will\willro01,23,COL,1,0,0,0,0,1,3,2,.667,3.25,0,-0.1,18,0,,0,,,0,0,0,0
92,Jeff Zatkoff\zatkoje01,28,PIT,14,11,4,7,1,34,408,374,.917,2.79,0,2.5,732,7,.636,3,98,0.74,0,0,0,0
